,Tranche d'âge,En écoutant la radio ou des podcast,En regardant la TV (replay ou direct),En lisant un journal ou magazine,En vous connectant directement sur un site internet,En utilisant un moteur de recherche,En utilisant un portail d'actualité,En consultant les réseaux sociaux,En consultant les plateformes vidéo en ligne,Mode principal d'information
151,45-59 ans,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
152,35-44 ans,Jamais,Au moins une fois par jour,Au moins une fois par semaine,Moins souvent,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Jamais,"En utilisant un moteur de recherche (Google, Safari, …)"
153,60-69 ans,Jamais,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
154,45-59 ans,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
155,70 ans et +,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
156,60-69 ans,Au moins une fois par mois,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par mois,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
157,25-34 ans,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
158,60-69 ans,Moins souvent,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
159,60-69 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Jamais,Au moins une fois par jour,Jamais,Plusieurs fois par jour,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
160,45-59 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par mois,Jamais,Moins souvent,Plusieurs fois par jour,Jamais,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
161,35-44 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par mois,Plusieurs fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par semaine,"En utilisant un moteur de recherche (Google, Safari, …)"
162,60-69 ans,Plusieurs fois par jour,Moins souvent,Au moins une fois par mois,Au moins une fois par semaine,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
163,45-59 ans,Moins souvent,Plusieurs fois par jour,Moins souvent,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
164,60-69 ans,Jamais,Plusieurs fois par jour,Au moins une fois par mois,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
165,45-59 ans,Jamais,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Jamais,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
166,70 ans et +,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Jamais,Plusieurs fois par jour,Au moins une fois par semaine,Jamais,Moins souvent,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
167,35-44 ans,Moins souvent,Jamais,Au moins une fois par mois,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par mois,"En vous connectant directement sur le site ou l'application d'un média disponible uniquement sur Internet (Mediapart, H"
168,60-69 ans,Jamais,Jamais,Jamais,Plusieurs fois par jour,Plusieurs fois par jour,Jamais,Plusieurs fois par jour,Jamais,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
169,70 ans et +,Au moins une fois par jour,Plusieurs fois par jour,Moins souvent,Moins souvent,Au moins une fois par semaine,Moins souvent,Moins souvent,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
170,60-69 ans,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Moins souvent,Au moins une fois par semaine,"En vous connectant directement sur le site ou l'application d'un média disponible uniquement sur Internet (Mediapart, H"
171,45-59 ans,Moins souvent,Plusieurs fois par jour,Au moins une fois par semaine,Moins souvent,Plusieurs fois par jour,Moins souvent,Au moins une fois par semaine,Plusieurs fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
172,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par mois,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
173,60-69 ans,Plusieurs fois par jour,Moins souvent,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par mois,Plusieurs fois par jour,Moins souvent,Moins souvent,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
174,45-59 ans,Moins souvent,Plusieurs fois par jour,Jamais,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Au moins une fois par semaine,Plusieurs fois par jour,"En consultant des plateformes de vidéo en ligne (Youtube,Twitch, …)"
175,60-69 ans,Jamais,Au moins une fois par jour,Au moins une fois par semaine,Jamais,Au moins une fois par semaine,Au moins une fois par semaine,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
176,60-69 ans,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Jamais,Jamais,Jamais,Jamais,Jamais,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
177,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par semaine,Au moins une fois par mois,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
178,45-59 ans,Plusieurs fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Jamais,Au moins une fois par jour,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
179,60-69 ans,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Jamais,Au moins une fois par jour,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
180,45-59 ans,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par jour,Jamais,Jamais,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
181,45-59 ans,Au moins une fois par jour,Moins souvent,Jamais,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Jamais,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
182,70 ans et +,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Moins souvent,Au moins une fois par semaine,Moins souvent,Au moins une fois par jour,Moins souvent,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
183,45-59 ans,Plusieurs fois par jour,Au moins une fois par jour,Moins souvent,Jamais,Au moins une fois par jour,Au moins une fois par semaine,Moins souvent,Au moins une fois par semaine,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
184,45-59 ans,Au moins une fois par mois,Plusieurs fois par jour,Au moins une fois par mois,Au moins une fois par mois,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
185,60-69 ans,Jamais,Moins souvent,Au moins une fois par mois,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Moins souvent,Jamais,"En utilisant un moteur de recherche (Google, Safari, …)"
186,60-69 ans,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Jamais,Jamais,Jamais,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
187,60-69 ans,Moins souvent,Plusieurs fois par jour,Moins souvent,Moins souvent,Moins souvent,Moins souvent,Plusieurs fois par jour,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
188,60-69 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
189,60-69 ans,Jamais,Plusieurs fois par jour,Au moins une fois par mois,Moins souvent,Moins souvent,Moins souvent,Moins souvent,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
190,45-59 ans,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Jamais,Plusieurs fois par jour,Jamais,Jamais,Plusieurs fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
191,45-59 ans,Moins souvent,Plusieurs fois par jour,Jamais,Jamais,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
192,35-44 ans,Au moins une fois par jour,Au moins une fois par semaine,Moins souvent,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
193,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par jour,Moins souvent,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
194,45-59 ans,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
